Country Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,,
Nepal,South-East Asia,984075,3377.429,2281,7.829,453,11957,41.037,3,0.01,1,,
United Arab Emirates,Eastern Mediterranean,982969,9938.615,9553,96.589,1312,2332,23.578,7,0.071,1,,
Uruguay,Americas,967808,27860.772,0,0,0,7387,212.653,0,0,0,,
Costa Rica,Americas,960340,18851.939,0,0,0,8525,167.35,0,0,0,,
Panama,Americas,942083,21833.925,0,0,0,8395,194.564,0,0,0,,
Ecuador,Americas,940179,5328.89,7773,44.057,0,35781,202.805,9,0.051,0,,
Mongolia,Western Pacific,937971,28611.593,6811,207.761,228,2119,64.637,0,0,0,,
Latvia,Europe,855249,44832.008,8838,463.286,264,5879,308.176,4,0.21,0,,
Puerto Rico,Americas,827224,28915.292,8973,313.648,0,4708,164.566,27,0.944,0,,
Saudi Arabia,Eastern Mediterranean,807591,2319.739,3827,10.993,376,9239,26.538,7,0.02,1,,
Azerbaijan,Europe,796474,7855.412,1886,18.601,333,9735,96.014,12,0.118,0,,
Paraguay,Americas,688820,9657.432,0,0,0,19083,267.549,0,0,0,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,672039,13173.583,2497,48.947,0,5664,111.028,1,0.02,0,,
Sri Lanka,South-East Asia,664900,3105.087,390,1.821,0,16537,77.228,9,0.042,0,,
Bahrain,Eastern Mediterranean,655649,38531.89,6249,367.248,777,1506,88.506,0,0,0,,
Kuwait,Eastern Mediterranean,653020,15291.164,2379,55.707,0,2559,59.922,1,0.023,0,,
Dominican Republic,Americas,624167,5753.8,1735,15.994,0,4383,40.404,0,0,0,,
Myanmar,South-East Asia,613951,1128.383,113,0.208,0,19434,35.718,0,0,0,,
Estonia,Europe,584373,43971.674,324,24.38,0,2612,196.542,4,0.301,0,,
Cyprus,Europe,556048,62617.665,10152,1143.237,0,1099,123.761,13,1.464,0,,
Venezuela (Bolivarian Republic of),Americas,531094,1867.686,1364,4.797,0,5753,20.231,6,0.021,0,,
Republic of Moldova,Europe,526394,13049.054,0,0,0,11592,287.36,0,0,0,,
Egypt,Eastern Mediterranean,514659,502.919,246,0.24,246,24765,24.2,15,0.015,15,,
Libya,Eastern Mediterranean,503611,7329.204,969,14.102,0,6431,93.592,0,0,0,,
Ethiopia,Africa,491508,427.534,422,0.367,0,7564,6.579,3,0.003,0,,
Honduras,Americas,434796,4389.836,2657,26.826,0,10930,110.353,11,0.111,0,,
Réunion,Africa,429237,47942.728,0,0,0,825,92.147,0,0,0,,
Armenia,Europe,425365,14354.756,965,32.566,965,8633,291.337,7,0.236,7,,
Qatar,Eastern Mediterranean,402330,13964.686,7279,252.651,1008,680,23.602,0,0,0,,
Oman,Eastern Mediterranean,393002,7695.923,0,0,0,4628,90.627,0,0,0,,
Bosnia and Herzegovina,Europe,383278,11682.402,2295,69.952,98,15830,482.502,13,0.396,2,,
Kenya,Africa,337161,627.028,421,0.783,0,5670,10.545,2,0.004,0,,
Zambia,Africa,328550,1787.156,556,3.024,0,4013,21.829,4,0.022,0,,
Botswana,Africa,323327,13749.077,0,0,0,2752,117.025,0,0,0,,
North Macedonia,Europe,322165,15463.574,4027,193.292,0,9353,448.934,7,0.336,0,,
Albania,Europe,290954,10110.293,0,0,0,3517,122.211,0,0,0,,
Luxembourg,Europe,280088,44734.774,2749,439.062,0,1107,176.807,0,0,0,,
Algeria,Africa,266772,608.36,327,0.746,0,6876,15.68,1,0.002,0,,
Nigeria,Africa,259485,125.878,478,0.232,0,3146,1.526,2,0.001,0,,
Zimbabwe,Africa,256217,1723.867,134,0.902,0,5570,37.476,4,0.027,0,,
Montenegro,Europe,252721,40238.225,5507,876.824,703,2736,435.626,6,0.955,0,,
Kosovo[1],Europe,245232,13656.883,8459,471.079,978,3153,175.589,15,0.835,3,,
Uzbekistan,Europe,242691,725.117,386,1.153,0,1637,4.891,0,0,0,,
Mauritius,Africa,241165,18962.971,742,58.344,0,1008,79.26,0,0,0,,
Mozambique,Africa,229351,733.796,313,1.001,0,2215,7.087,0,0,0,,
Lao People's Democratic Republic,Western Pacific,210789,2897.22,261,3.587,23,757,10.405,0,0,0,,
Martinique,Americas,208003,55428.297,0,0,0,986,262.748,0,0,0,,
Kyrgyzstan,Europe,201832,3093.594,128,1.962,128,2991,45.845,0,0,0,,
Iceland,Europe,200397,55033.861,393,107.927,0,179,49.158,0,0,0,,
Brunei Darussalam,Western Pacific,200279,45780.255,12060,2756.704,1550,185,42.288,4,0.914,1,,
Afghanistan,Eastern Mediterranean,184587,474.171,970,2.492,113,7738,19.878,6,0.015,0,,
Maldives,South-East Asia,183908,34022.762,0,0,0,307,56.795,0,0,0,,
El Salvador,Americas,180970,2790.075,0,0,0,4184,64.506,17,0.262,0,,
Guadeloupe,Americas,179285,44807.36,0,0,0,960,239.926,0,0,0,,
Trinidad and Tobago,Americas,169581,12117.36,444,31.726,0,4039,288.606,1,0.071,0,,
Uganda,Africa,167815,366.881,0,0,0,3626,7.927,0,0,0,,
Ghana,Africa,167215,538.137,0,0,0,1456,4.686,0,0,0,,
Namibia,Africa,166388,6548.375,0,0,0,4069,160.14,0,0,0,,
Jamaica,Americas,144997,4896.617,380,12.833,0,3174,107.187,4,0.135,0,,
Cambodia,Western Pacific,136588,816.964,133,0.796,23,3056,18.279,0,0,0,,
Rwanda,Africa,131944,1018.698,49,0.378,0,1466,11.319,1,0.008,0,,
Cameroon,Africa,120068,452.304,0,0,0,1931,7.274,0,0,0,,
Malta,Europe,112217,21808.172,1250,242.924,128,785,152.556,13,2.526,0,,
Angola,Africa,102301,311.264,37,0.113,0,1912,5.818,0,0,0,,
Democratic Republic of the Congo,Africa,91928,102.642,0,0,0,1390,1.552,0,0,0,,
French Guiana,Americas,89779,30058.39,0,0,0,402,134.591,0,0,0,,
Barbados,Americas,88565,30818.617,981,341.366,0,480,167.029,1,0.348,0,,
Senegal,Africa,87037,519.812,246,1.469,0,1968,11.754,0,0,0,,
Malawi,Africa,86823,453.859,0,0,0,2651,13.858,0,0,0,,
Côte d’Ivoire,Africa,84950,322.045,367,1.391,0,809,3.067,3,0.011,0,,
Suriname,Americas,80949,13798.94,30,5.114,0,1379,235.071,2,0.341,0,,
French Polynesia,Western Pacific,74809,26631.139,696,247.768,0,649,231.036,0,0,0,,
Eswatini,Africa,73247,6313.504,5,0.431,0,1417,122.138,0,0,0,,
Guyana,Americas,69172,8794.333,305,38.777,0,1268,161.21,4,0.509,0,,
New Caledonia,Western Pacific,68135,23865.316,1363,477.411,0,314,109.983,0,0,0,,
Fiji,Western Pacific,67191,7495.273,484,53.991,0,870,97.05,1,0.112,0,,
Belize,Americas,66438,16708.582,444,111.662,0,680,171.014,0,0,0,,
Madagascar,Africa,66289,239.388,0,0,0,1406,5.077,0,0,0,,
Sudan,Eastern Mediterranean,62914,143.478,42,0.096,0,4955,11.3,0,0,0,,
Cabo Verde,Africa,62017,11154.397,72,12.95,0,409,73.563,0,0,0,,
Mauritania,Africa,61921,1331.732,0,0,0,986,21.206,0,0,0,,
Bhutan,South-East Asia,60368,7823.662,259,33.566,259,21,2.722,0,0,0,,
Jersey,Europe,57541,53379.532,383,355.301,0,131,121.526,0,0,0,,
Syrian Arab Republic,Eastern Mediterranean,56104,320.582,119,0.68,19,3150,17.999,0,0,0,,
Gabon,Africa,48417,2175.327,128,5.751,0,306,13.748,0,0,0,,
Guam,Western Pacific,45362,26877.203,448,265.442,0,377,223.374,1,0.593,0,,
Andorra,Europe,45326,58663.043,265,342.975,0,153,198.02,0,0,0,,
Seychelles,Africa,45269,46029.874,0,0,0,168,170.824,0,0,0,,
Curaçao,Americas,44932,27382.033,150,91.412,0,282,171.854,2,1.219,0,,
Papua New Guinea,Western Pacific,44772,500.412,11,0.123,0,662,7.399,0,0,0,,
Burundi,Africa,44437,373.71,844,7.098,0,15,0.126,0,0,0,,
Aruba,Americas,41787,39138.864,342,320.327,0,224,209.805,0,0,0,,
Mayotte,Africa,38653,14168.209,514,188.406,0,187,68.545,0,0,0,,
Togo,Africa,37956,458.476,144,1.739,0,276,3.334,1,0.012,0,,
Isle of Man,Europe,37538,44145.733,299,351.632,0,111,130.539,1,1.176,0,,
Guinea,Africa,37351,284.41,0,0,0,445,3.388,0,0,0,,
United Republic of Tanzania,Africa,36886,61.75,0,0,0,841,1.408,0,0,0,,
Bahamas,Americas,36502,9282.278,67,17.038,0,822,209.031,0,0,0,,
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0,,
Lesotho,Africa,34040,1588.984,0,0,0,702,32.769,0,0,0,,
Haiti,Americas,32131,281.788,0,0,0,838,7.349,0,0,0,,
Mali,Africa,31212,154.127,12,0.059,0,737,3.639,0,0,0,,
Guernsey,Europe,29601,45915.803,556,862.443,0,54,83.762,4,6.205,0,,
Cayman Islands,Americas,28784,43797.931,395,601.035,0,29,44.127,0,0,0,,
Saint Lucia,Americas,27559,15008.142,95,51.735,0,385,209.664,0,0,0,,
Benin,Africa,27271,224.949,0,0,0,163,1.345,0,0,0,,
Somalia,Eastern Mediterranean,26912,169.33,0,0,0,1361,8.563,0,0,0,,
Congo,Africa,24604,445.879,0,0,0,386,6.995,0,0,0,,
Timor-Leste,South-East Asia,22986,1743.417,8,0.607,0,133,10.088,0,0,0,,
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0,,
United States Virgin Islands,Americas,21499,20587.982,173,165.669,0,120,114.915,0,0,0,,
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0,,
Gibraltar,Europe,19862,58953.43,66,195.898,0,105,311.656,0,0,0,,
San Marino,Europe,19619,57808.356,361,1063.704,2,118,347.693,1,2.947,0,,
Grenada,Americas,18720,16636.599,65,57.766,0,233,207.069,0,0,0,,
Liechtenstein,Europe,18415,47526.26,21,54.198,0,84,216.791,0,0,0,,
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0,,
South Sudan,Africa,17733,158.419,0,0,0,138,1.233,0,0,0,,
Bermuda,Americas,16988,27279.881,266,427.151,0,142,228.028,1,1.606,0,,
Equatorial Guinea,Africa,16654,1187.04,33,2.352,0,183,13.044,0,0,0,,
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0,,
Samoa,Western Pacific,15318,7720.221,135,68.04,0,29,14.616,0,0,0,,
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0,,
Nicaragua,Americas,14777,223.064,26,0.392,0,244,3.683,0,0,0,,
Central African Republic,Africa,14712,304.611,0,0,0,113,2.34,0,0,0,,
Monaco,Europe,13964,35582.509,149,379.676,0,61,155.438,0,0,0,,
Tonga,Western Pacific,12515,11840.674,76,71.905,0,12,11.353,0,0,0,,
Northern Mariana Islands (Commonwealth of the),Western Pacific,12398,21540.386,205,356.169,0,35,60.809,0,0,0,,
Gambia,Africa,12028,497.71,0,0,0,368,15.228,0,0,0,,
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0,,
Yemen,Eastern Mediterranean,11849,39.727,1,0.003,0,2149,7.205,0,0,0,,
Vanuatu,Western Pacific,11720,3815.787,0,0,0,14,4.558,0,0,0,,
Saint Martin,Americas,11410,29514.473,0,0,0,46,118.989,0,0,0,,
Sint Maarten,Americas,10656,24849.587,55,128.259,0,87,202.882,0,0,0,,
Eritrea,Africa,9907,279.352,29,0.818,0,103,2.904,0,0,0,,
Saint Vincent and the Grenadines,Americas,9282,8366.685,49,44.168,0,115,103.66,0,0,0,,
Niger,Africa,9104,37.61,0,0,0,311,1.285,0,0,0,,
Bonaire,Americas,9001,43036.098,133,635.907,0,30,143.438,0,0,0,,
Antigua and Barbuda,Americas,8712,8896.241,0,0,0,144,147.045,0,0,0,,
Guinea-Bissau,Africa,8400,426.829,0,0,0,171,8.689,0,0,0,,
Comoros,Africa,8270,951.011,0,0,0,160,18.399,0,0,0,,
Sierra Leone,Africa,7728,96.879,6,0.075,0,125,1.567,0,0,0,,
Liberia,Africa,7508,148.447,0,0,0,294,5.813,0,0,0,,
American Samoa,Western Pacific,7471,13535.156,0,0,0,33,59.786,0,0,0,,
Chad,Africa,7430,45.234,3,0.018,0,193,1.175,0,0,0,,
British Virgin Islands,Americas,7131,23583.689,0,0,0,63,208.354,0,0,0,,
Saint Kitts and Nevis,Americas,6413,12056.324,30,56.399,0,46,86.479,1,1.88,0,,
Turks and Caicos Islands,Americas,6255,16155.277,0,0,0,36,92.98,0,0,0,,
Sao Tome and Principe,Africa,6087,2777.436,0,0,0,74,33.765,0,0,0,,
Cook Islands,Western Pacific,5847,33289.683,16,91.095,0,1,5.693,0,0,0,,
Palau,Western Pacific,5216,28830.422,17,93.964,0,6,33.164,0,0,0,,
Saint Barthélemy,Americas,4954,50116.338,0,0,0,5,50.582,0,0,0,,
Nauru,Western Pacific,4402,40631.346,21,193.834,0,1,9.23,0,0,0,,
Anguilla,Americas,3535,23563.525,39,259.965,0,9,59.992,0,0,0,,
Kiribati,Western Pacific,3430,2871.518,194,162.412,0,13,10.883,0,0,0,,
Saint Pierre and Miquelon,Americas,2970,51251.079,0,0,0,1,17.256,0,0,0,,
Falkland Islands (Malvinas),Americas,1835,52684.467,4,114.844,0,0,0,0,0,0,,
Sint Eustatius,Americas,1092,34788.149,44,1401.72,0,5,159.286,0,0,0,,
Montserrat,Americas,1032,20644.129,7,140.028,0,8,160.032,0,0,0,,
Micronesia (Federated States of),Western Pacific,1022,888.518,984,855.481,873,0,0,0,0,0,,
Other,Other,764,,0,,0,13,,0,,0,,
Saba,Americas,645,33367.822,6,310.398,0,2,103.466,0,0,0,,
Wallis and Futuna,Western Pacific,533,4739.463,65,577.983,0,7,62.244,0,0,0,,
Marshall Islands,Western Pacific,59,99.672,10,16.894,0,0,0,0,0,0,,
Niue,Western Pacific,29,1792.336,0,0,0,0,0,0,0,0,,
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0,,
Tuvalu,Western Pacific,8,67.843,0,0,0,0,0,0,0,0,,
Pitcairn Islands,Western Pacific,4,8000,4,8000,0,0,0,0,0,0,,
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,,
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,,
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,,
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,,
